
New Run at  03/30/2015 15:36:46
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241481300,541837.0;21797.0;1.11927366893
data,1241481600,542069.0;21805.0;1.11894244107
data,1241481600,542299.0;21813.0;1.118796929
data,1241481900,542525.0;21828.0;1.11861670285
data,1241482200,542744.0;21838.0;1.11854860665
data,1241482500,542969.0;21849.0;1.11850875807
data,1241482800,543215.0;21860.0;1.11778510194
data,1241483100,543437.0;21871.0;1.11785677594
data,1241483400,543666.0;21879.0;1.11779456599
data,1241483700,543917.0;21887.0;1.11740099334
data,1241484000,544152.0;21896.0;1.11688872935
data,1241484000,544373.0;21909.0;1.116335773
data,1241484300,544624.0;21926.0;1.11622679615
data,1241484600,544885.0;21940.0;1.11595923084
data,1241484900,545134.0;21954.0;1.11581688467
data,1241485200,545371.0;21963.0;1.11526219367
data,1241485500,545613.0;21977.0;1.11465798953
data,1241485800,545857.0;21987.0;1.11432072957
data,1241485800,546053.0;21992.0;1.11424282816
data,1241486100,546278.0;21998.0;1.11383353037
data,1241486400,546503.0;22004.0;1.11346142135
data,1241486700,546754.0;22015.0;1.11322214974
data,1241487000,547006.0;22023.0;1.11273991892
data,1241487300,547246.0;22033.0;1.11246955571
data,1241487600,547478.0;22044.0;1.11214125528
data,1241487900,547721.0;22061.0;1.11220582523
data,1241488200,547968.0;22076.0;1.11246921496
data,1241488200,548220.0;22088.0;1.1122382044
data,1241488500,548447.0;22095.0;1.11155643192
data,1241488800,548674.0;22099.0;1.11124532524
data,1241489100,549421.0;22143.0;1.1113322969
data,1241489400,550258.0;22185.0;1.11162035853
data,1241489700,551152.0;22223.0;1.11105747148
data,1241490000,551945.0;22254.0;1.11088112008
data,1241490300,552793.0;22295.0;1.11095194994
data,1241490600,553604.0;22337.0;1.11120952115
data,1241490900,554430.0;22389.0;1.11215383938
data,1241491200,555318.0;22419.0;1.11171117772
data,1241491500,556231.0;22463.0;1.11185957783
data,1241491500,557089.0;22508.0;1.11213761079
data,1241491800,557907.0;22540.0;1.11185296469
data,1241492100,558773.0;22596.0;1.11261445662
data,1241492400,559628.0;22629.0;1.11252481823
data,1241492700,560480.0;22666.0;1.11256077983
data,1241493300,561369.0;22697.0;1.11216865547
data,1241493600,562191.0;22728.0;1.11132228588
data,1241493900,563054.0;22778.0;1.112173757
data,1241494200,563894.0;22823.0;1.11246251282
data,1241494500,564756.0;22862.0;1.1124926021
data,1241494800,565616.0;22901.0;1.11253113063
data,1241495100,566470.0;22933.0;1.11222816083
data,1241495400,567303.0;22980.0;1.11280283046
data,1241496000,568193.0;23022.0;1.11283883871
data,1241496300,569063.0;23056.0;1.11257603892
data,1241496600,569945.0;23099.0;1.11256350159
data,1241497200,570787.0;23140.0;1.11292240684
data,1241497500,571637.0;23163.0;1.11196929701
data,1241497800,572464.0;23194.0;1.11201804449
data,1241498400,573317.0;23234.0;1.11218233286
data,1241498700,574198.0;23282.0;1.11263959202
data,1241499300,575051.0;23319.0;1.11251756443
data,1241499600,575654.0;23345.0;1.11253873387
data,1241500200,575913.0;23357.0;1.11253770075
data,1241500800,576134.0;23367.0;1.11272682781
data,1241501100,576420.0;23374.0;1.11274732025
data,1241501700,576702.0;23383.0;1.11252556572
data,1241502300,577042.0;23397.0;1.11280235424
data,1241502900,577440.0;23408.0;1.11241339367
data,1241503500,577940.0;23443.0;1.11341007781
data,1241504100,578535.0;23464.0;1.11321841316
