
New Run at  03/30/2015 14:51:21
, Time, exp3Access; exp3Clicks; exp3CTRRatio 
data,1241212200,140607.0;7720.0;1.28594865424
data,1241212500,141485.0;7776.0;1.2858367957
data,1241212800,142390.0;7822.0;1.28739802766
data,1241213100,143319.0;7869.0;1.2861897456
data,1241213400,144248.0;7918.0;1.28428392386
data,1241213700,145149.0;7966.0;1.28354013485
data,1241214000,146026.0;8014.0;1.28520491269
data,1241214300,146901.0;8063.0;1.28411153265
data,1241214600,147783.0;8109.0;1.28187330319
data,1241214900,148627.0;8154.0;1.28185789553
data,1241215200,149537.0;8200.0;1.28132334537
data,1241215500,150430.0;8254.0;1.28266593474
data,1241215800,151302.0;8296.0;1.28228281607
data,1241216100,152210.0;8339.0;1.2814374887
data,1241216400,153123.0;8390.0;1.27983168382
data,1241216700,154000.0;8446.0;1.28063861984
data,1241217000,154890.0;8490.0;1.27905792732
data,1241217300,155801.0;8531.0;1.27827454225
data,1241217600,156698.0;8581.0;1.27720331215
data,1241218200,157562.0;8622.0;1.27517494977
data,1241218500,158464.0;8678.0;1.27481067212
data,1241218800,159330.0;8720.0;1.27558549014
data,1241219100,160192.0;8755.0;1.27338126775
data,1241219400,161128.0;8801.0;1.27293111253
data,1241219700,161996.0;8842.0;1.27082964691
data,1241220000,162884.0;8881.0;1.27044213417
data,1241220300,163823.0;8930.0;1.26831277446
data,1241220600,164711.0;8973.0;1.26823777869
data,1241221200,165638.0;9025.0;1.26825140614
data,1241221500,166544.0;9071.0;1.2663231648
data,1241221800,167439.0;9125.0;1.26743629869
data,1241222100,168369.0;9176.0;1.26680008574
data,1241222400,169268.0;9223.0;1.26382508616
data,1241222700,170064.0;9266.0;1.26677364648
data,1241223300,170896.0;9304.0;1.26449201395
data,1241223600,171748.0;9350.0;1.26380309661
data,1241223900,172695.0;9382.0;1.26118065148
data,1241224200,173592.0;9408.0;1.25878466386
data,1241224500,174525.0;9445.0;1.25901829463
data,1241224800,175417.0;9478.0;1.25920911656
