
New Run at  03/31/2015 19:59:12
, Time, greedyAccesses; greedyClicks; greedyCTRRatio 
data,1241461500,709210.0;31642.0;1.29241601322
data,1241461800,710222.0;31687.0;1.29193569095
data,1241462100,711210.0;31731.0;1.29183312946
data,1241462100,712261.0;31782.0;1.29230487149
data,1241462400,713235.0;31825.0;1.29211965065
data,1241462700,714234.0;31863.0;1.29141693623
data,1241463000,715167.0;31913.0;1.29077340741
data,1241463000,716138.0;31962.0;1.2908513724
data,1241463300,717152.0;32018.0;1.29121545111
data,1241463600,718166.0;32068.0;1.29163783578
data,1241463900,719171.0;32105.0;1.29068038776
data,1241464200,720223.0;32150.0;1.2903648919
data,1241464200,721231.0;32205.0;1.29080732329
data,1241464500,722254.0;32250.0;1.29061380434
data,1241464800,723266.0;32285.0;1.29011272801
data,1241465100,724245.0;32334.0;1.28998996951
data,1241465400,725203.0;32384.0;1.2900210383
data,1241465400,726261.0;32440.0;1.29012729053
data,1241465700,727080.0;32511.0;1.29082900205
data,1241466000,727927.0;32608.0;1.29254198167
data,1241466300,728977.0;32765.0;1.29640250999
data,1241466300,729994.0;32897.0;1.2987412723
data,1241466600,730966.0;33004.0;1.30057102703
data,1241466900,731911.0;33101.0;1.30193053004
data,1241467200,732898.0;33194.0;1.30344133847
data,1241467200,733836.0;33278.0;1.3038301364
data,1241467500,734812.0;33367.0;1.30462750815
data,1241467800,735790.0;33442.0;1.30461345896
data,1241468100,736749.0;33546.0;1.30664217074
data,1241468100,737714.0;33627.0;1.30735635505
data,1241468400,738656.0;33707.0;1.30776490048
data,1241468700,739609.0;33775.0;1.30844390681
data,1241469000,740509.0;33845.0;1.30847943503
data,1241469300,741472.0;33926.0;1.30859492008
data,1241469300,742347.0;33990.0;1.30908450824
data,1241469600,743269.0;34061.0;1.30927387271
data,1241469900,744153.0;34147.0;1.31052966436
data,1241470200,745033.0;34206.0;1.31031582115
data,1241470200,745974.0;34272.0;1.31059820613
data,1241470500,746886.0;34325.0;1.31037771038
data,1241470800,747860.0;34387.0;1.3102559346
data,1241471100,748806.0;34465.0;1.31073396212
data,1241471400,749711.0;34508.0;1.31035820116
data,1241471400,750580.0;34570.0;1.3103587514
data,1241471700,751486.0;34625.0;1.3100299973
data,1241472000,752408.0;34678.0;1.30988425681
data,1241472300,753295.0;34736.0;1.30954432659
data,1241472600,754162.0;34798.0;1.31026853112
data,1241472600,755059.0;34856.0;1.31047046269
data,1241472900,755917.0;34914.0;1.31058934323
data,1241473200,756764.0;34953.0;1.31001828884
data,1241473500,757647.0;35017.0;1.31043759448
data,1241473800,758519.0;35066.0;1.31022914203
data,1241474100,759361.0;35123.0;1.31052062087
data,1241474100,760229.0;35175.0;1.31072042896
data,1241474400,761053.0;35225.0;1.31101562208
data,1241474700,761928.0;35283.0;1.3113699086
data,1241475000,762808.0;35329.0;1.31129056503
data,1241475300,763710.0;35375.0;1.31104259387
data,1241475600,764567.0;35418.0;1.31071093392
data,1241475900,765411.0;35461.0;1.31073008485
data,1241476200,766316.0;35495.0;1.31059055028
data,1241476500,767177.0;35548.0;1.31074396982
data,1241476500,768039.0;35596.0;1.31030035004
data,1241476800,768874.0;35646.0;1.31037205632
data,1241477100,769763.0;35700.0;1.31073930968
data,1241477400,770621.0;35747.0;1.31091239598
data,1241477700,771467.0;35795.0;1.31071861015
data,1241478000,772329.0;35834.0;1.31051089777
data,1241478300,773206.0;35880.0;1.31053225923
data,1241478600,774116.0;35932.0;1.31079223714
data,1241478900,775002.0;35977.0;1.31063795106
data,1241479200,775883.0;36031.0;1.3105443573
data,1241479200,776717.0;36074.0;1.31031232249
data,1241479500,777525.0;36108.0;1.31008648128
data,1241479800,778370.0;36136.0;1.30956996404
data,1241480100,779218.0;36181.0;1.30927484672
data,1241480400,780083.0;36229.0;1.30919233634
data,1241480700,781033.0;36289.0;1.30925743131
data,1241481000,781914.0;36330.0;1.30902414355
data,1241481300,782779.0;36378.0;1.30904261997
data,1241481600,783702.0;36434.0;1.30924969341
data,1241481600,784579.0;36480.0;1.30938868034
data,1241481900,785423.0;36528.0;1.30987304795
data,1241482200,786287.0;36571.0;1.30982173855
data,1241482500,787131.0;36604.0;1.3096115736
data,1241482800,787987.0;36653.0;1.30917967616
data,1241483100,788850.0;36688.0;1.30893817578
data,1241483400,789752.0;36734.0;1.30875859896
data,1241483700,790607.0;36782.0;1.30852820395
data,1241484000,791493.0;36831.0;1.30806070994
data,1241484000,792385.0;36883.0;1.30815388324
data,1241484300,793257.0;36938.0;1.3086824889
data,1241484600,794119.0;36999.0;1.30906960662
